Fecha;TOTAL
01/01/1956;1254
01/02/1956;1290
01/03/1956;1379
01/04/1956;1346
01/05/1956;1535
01/06/1956;1555
01/07/1956;1655
01/08/1956;1651
01/09/1956;1500
01/10/1956;1538
01/11/1956;1486
01/12/1956;1394
01/01/1957;1409
01/02/1957;1387
01/03/1957;1543
01/04/1957;1502
01/05/1957;1693
01/06/1957;1616
01/07/1957;1841
01/08/1957;1787
01/09/1957;1631
01/10/1957;1649
01/11/1957;1586
01/12/1957;1500
01/01/1958;1497
01/02/1958;1463
01/03/1958;1648
01/04/1958;1595
01/05/1958;1777
01/06/1958;1824
01/07/1958;1994
01/08/1958;1835
01/09/1958;1787
01/10/1958;1699
01/11/1958;1633
01/12/1958;1645
01/01/1959;1597
01/02/1959;1577
01/03/1959;1709
01/04/1959;1756
01/05/1959;1936
01/06/1959;2052
01/07/1959;2105
01/08/1959;2016
01/09/1959;1914
01/10/1959;1925
01/11/1959;1824
01/12/1959;1765
01/01/1960;1721
01/02/1960;1752
01/03/1960;1914
01/04/1960;1857
01/05/1960;2159
01/06/1960;2195
01/07/1960;2287
01/08/1960;2276
01/09/1960;2096
01/10/1960;2055
01/11/1960;2004
01/12/1960;1924
01/01/1961;1851
01/02/1961;1839
01/03/1961;2019
01/04/1961;1937
01/05/1961;2270
01/06/1961;2251
01/07/1961;2382
01/08/1961;2364
01/09/1961;2129
01/10/1961;2110
01/11/1961;2072
01/12/1961;1980
01/01/1962;1995
01/02/1962;1932
01/03/1962;2171
01/04/1962;2162
01/05/1962;2489
01/06/1962;2424
01/07/1962;2641
01/08/1962;2630
01/09/1962;2324
01/10/1962;2412
01/11/1962;2284
01/12/1962;2186
01/01/1963;2184
01/02/1963;2144
01/03/1963;2379
01/04/1963;2383
01/05/1963;2717
01/06/1963;2774
01/07/1963;3051
01/08/1963;2891
01/09/1963;2613
01/10/1963;2600
01/11/1963;2493
01/12/1963;2410
01/01/1964;2390
01/02/1964;2463
01/03/1964;2616
01/04/1964;2734
01/05/1964;2970
01/06/1964;3125
01/07/1964;3342
01/08/1964;3207
01/09/1964;2964
01/10/1964;2919
01/11/1964;2764
01/12/1964;2732
01/01/1965;2622
01/02/1965;2698
01/03/1965;2950
01/04/1965;2895
01/05/1965;3200
01/06/1965;3408
01/07/1965;3679
01/08/1965;3473
01/09/1965;3154
01/10/1965;3107
01/11/1965;3052
01/12/1965;2918
01/01/1966;2786
01/02/1966;2739
01/03/1966;3125
01/04/1966;3033
01/05/1966;3486
01/06/1966;3661
01/07/1966;3927
01/08/1966;3851
01/09/1966;3456
01/10/1966;3390
01/11/1966;3280
01/12/1966;3166
01/01/1967;3080
01/02/1967;3069
01/03/1967;3340
01/04/1967;3310
01/05/1967;3798
01/06/1967;3883
01/07/1967;4191
01/08/1967;4213
01/09/1967;3766
01/10/1967;3628
01/11/1967;3520
01/12/1967;3322
01/01/1968;3250
01/02/1968;3287
01/03/1968;3552
01/04/1968;3440
01/05/1968;4153
01/06/1968;4265
01/07/1968;4655
01/08/1968;4492
01/09/1968;4051
01/10/1968;3967
01/11/1968;3807
01/12/1968;3639
01/01/1969;3647
01/02/1969;3560
01/03/1969;3929
01/04/1969;3858
01/05/1969;4485
01/06/1969;4697
01/07/1969;4977
01/08/1969;4675
01/09/1969;4596
01/10/1969;4491
01/11/1969;4127
01/12/1969;4144
01/01/1970;4014
01/02/1970;3994
01/03/1970;4320
01/04/1970;4400
01/05/1970;5002
01/06/1970;5091
01/07/1970;5471
01/08/1970;5193
01/09/1970;4997
01/10/1970;4737
01/11/1970;4546
01/12/1970;4498
01/01/1971;4350
01/02/1971;4206
01/03/1971;4743
01/04/1971;4582
01/05/1971;5191
01/06/1971;5457
01/07/1971;5891
01/08/1971;5618
01/09/1971;5158
01/10/1971;5030
01/11/1971;4800
01/12/1971;4654
01/01/1972;4453
01/02/1972;4440
01/03/1972;4945
01/04/1972;4788
01/05/1972;5425
01/06/1972;5706
01/07/1972;6061
01/08/1972;5846
01/09/1972;5242
01/10/1972;5408
01/11/1972;5114
01/12/1972;5042
01/01/1973;5008
01/02/1973;4657
01/03/1973;5359
01/04/1973;5193
01/05/1973;5891
01/06/1973;5980
01/07/1973;6390
01/08/1973;6366
01/09/1973;5756
01/10/1973;5640
01/11/1973;5429
01/12/1973;5398
01/01/1974;5413
01/02/1974;5141
01/03/1974;5695
01/04/1974;5554
01/05/1974;6369
01/06/1974;6592
01/07/1974;7107
01/08/1974;6917
01/09/1974;6353
01/10/1974;6205
01/11/1974;5830
01/12/1974;5646
01/01/1975;5379
01/02/1975;5489
01/03/1975;5824
01/04/1975;5907
01/05/1975;6482
01/06/1975;6795
01/07/1975;7028
01/08/1975;6776
01/09/1975;6274
01/10/1975;6362
01/11/1975;5940
01/12/1975;5958
01/01/1976;5769
01/02/1976;5887
01/03/1976;6367
01/04/1976;6165
01/05/1976;6868
01/06/1976;7201
01/07/1976;7601
01/08/1976;7581
01/09/1976;7090
01/10/1976;6841
01/11/1976;6408
01/12/1976;6435
01/01/1977;6176
01/02/1977;6138
01/03/1977;6717
01/04/1977;6470
01/05/1977;7312
01/06/1977;7763
01/07/1977;8171
01/08/1977;7788
01/09/1977;7311
01/10/1977;6679
01/11/1977;6704
01/12/1977;6724
01/01/1978;6552
01/02/1978;6427
01/03/1978;7105
01/04/1978;6869
01/05/1978;7683
01/06/1978;8082
01/07/1978;8555
01/08/1978;8386
01/09/1978;7553
01/10/1978;7398
01/11/1978;7112
01/12/1978;6886
01/01/1979;7077
01/02/1979;6820
01/03/1979;7426
01/04/1979;7143
01/05/1979;8261
01/06/1979;8240
01/07/1979;8977
01/08/1979;8991
01/09/1979;8026
01/10/1979;7911
01/11/1979;7510
01/12/1979;7381
01/01/1980;7366
01/02/1980;7414
01/03/1980;7824
01/04/1980;7524
01/05/1980;8279
01/06/1980;8707
01/07/1980;9486
01/08/1980;8973
01/09/1980;8231
01/10/1980;8206
01/11/1980;7927
01/12/1980;7999
01/01/1981;7834
01/02/1981;7521
01/03/1981;8284
01/04/1981;7999
01/05/1981;8940
01/06/1981;9381
01/07/1981;10078
01/08/1981;9796
01/09/1981;8471
01/10/1981;8572
01/11/1981;8150
01/12/1981;8168
01/01/1982;8166
01/02/1982;7903
01/03/1982;8606
01/04/1982;8071
01/05/1982;9178
01/06/1982;9873
01/07/1982;10476
01/08/1982;9296
01/09/1982;8818
01/10/1982;8697
01/11/1982;8381
01/12/1982;8293
01/01/1983;7942
01/02/1983;8001
01/03/1983;8744
01/04/1983;8397
01/05/1983;9115
01/06/1983;9773
01/07/1983;10358
01/08/1983;9849
01/09/1983;9083
01/10/1983;9143
01/11/1983;8800
01/12/1983;8741
01/01/1984;8492
01/02/1984;8795
01/03/1984;9354
01/04/1984;8796
01/05/1984;10072
01/06/1984;10174
01/07/1984;11326
01/08/1984;10744
01/09/1984;9806
01/10/1984;9740
01/11/1984;9373
01/12/1984;9244
01/01/1985;9407
01/02/1985;8827
01/03/1985;9880
01/04/1985;9364
01/05/1985;10580
01/06/1985;10899
01/07/1985;11687
01/08/1985;11280
01/09/1985;10208
01/10/1985;10212
01/11/1985;9725
01/12/1985;9721
01/01/1986;9846
01/02/1986;9407
01/03/1986;10265
01/04/1986;9970
01/05/1986;10801
01/06/1986;11246
01/07/1986;12167
01/08/1986;11578
01/09/1986;10645
01/10/1986;10613
01/11/1986;10104
01/12/1986;10348
01/01/1987;10263
01/02/1987;9973
01/03/1987;10803
01/04/1987;10409
01/05/1987;11458
01/06/1987;11845
01/07/1987;12559
01/08/1987;12070
01/09/1987;11221
01/10/1987;11338
01/11/1987;10761
01/12/1987;11012
01/01/1988;10923
01/02/1988;10790
01/03/1988;11427
01/04/1988;10788
01/05/1988;11772
01/06/1988;12104
01/07/1988;12634
01/08/1988;12772
01/09/1988;11764
01/10/1988;11956
01/11/1988;11646
01/12/1988;11750
01/01/1989;11485
01/02/1989;11198
01/03/1989;12265
01/04/1989;11704
01/05/1989;12419
01/06/1989;13259
01/07/1989;13945
01/08/1989;13839
01/09/1989;12387
01/10/1989;12546
01/11/1989;12038
01/12/1989;11977
01/01/1990;12336
01/02/1990;11793
01/03/1990;12877
01/04/1990;11923
01/05/1990;13306
01/06/1990;13988
01/07/1990;14002
01/08/1990;14336
01/09/1990;12867
01/10/1990;12721
01/11/1990;12449
01/12/1990;12686
01/01/1991;12810
01/02/1991;12015
01/03/1991;12888
01/04/1991;12431
01/05/1991;13499
01/06/1991;13014
01/07/1991;14296
01/08/1991;14125
01/09/1991;12817
01/10/1991;12862
01/11/1991;12449
01/12/1991;12489
01/01/1992;12621
01/02/1992;12380
01/03/1992;13023
01/04/1992;12302
01/05/1992;13339
01/06/1992;13825
01/07/1992;14428
01/08/1992;14151
01/09/1992;13355
01/10/1992;13094
01/11/1992;12656
01/12/1992;12435
01/01/1993;13287
01/02/1993;12434
01/03/1993;13209
01/04/1993;12817
01/05/1993;13746
01/06/1993;14259
01/07/1993;14590
01/08/1993;14354
01/09/1993;13254
01/10/1993;13464
01/11/1993;13302
01/12/1993;13456
01/01/1994;13171
01/02/1994;12517
01/03/1994;13489
01/04/1994;12509
01/05/1994;13785
01/06/1994;13921
01/07/1994;14603
01/08/1994;14749
01/09/1994;13540
01/10/1994;13457
01/11/1994;13243
01/12/1994;13590
01/01/1995;13487
01/02/1995;12776
01/03/1995;13812
01/04/1995;13032
01/05/1995;14268
01/06/1995;14473
01/07/1995;15359
01/08/1995;14457
